cidade,uf,total de jornais online
MARTINÓPOLIS,SP,1
MATELÂNDIA,PR,1
MATEUS LEME,MG,1
MATOZINHOS,MG,1
MINEIROS,GO,1
MIRACEMA DO TOCANTINS,TO,1
MOMBAÇA,CE,1
MONGAGUÁ,SP,1
MONTE APRAZÍVEL,SP,1
MONTE CARMELO,MG,1
MONTE MOR,SP,1
MORRINHOS,GO,1
MORRO DA FUMAÇA,SC,1
MORRO DO CHAPÉU,BA,1
MOSTARDAS,RS,1
MUCURI,BA,1
NANUQUE,MG,1
NAZARÉ PAULISTA,SP,1
NILÓPOLIS,RJ,1
NIQUELÂNDIA,GO,1
NOVA ALVORADA DO SUL,MS,1
NOVA BOA VISTA,RS,1
NOVA BRÉSCIA,RS,1
NOVA GLÓRIA,GO,1
NOVA GRANADA,SP,1
NOVA MUTUM,MT,1
NOVA ODESSA,SP,1
NOVA SANTA RITA,RS,1
NOVA TRENTO,SC,1
NOVA VENEZA,SC,1
NOVA VENÊCIA,ES,1
NÃO INFORMADO NO SITE DA ANJ,ES,1
OLINDA,PE,1
OLIVEIRA,MG,1
ORLÂNDIA,SP,1
PALMARES,PE,1
PALMEIRA,PR,1
PALMEIRA DOS ÍNDIOS,AL,1
PALMEIRAS DE GOIÁS,GO,1
PALMITAL,SP,1
PANCAS,ES,1
PANTANO GRANDE,RS,1
PARACURU,CE,1
PARAGUAÇU,MG,1
PARAÍ,RS,1
PARAÍSO DO TOCANTINS,TO,1
PAROBÉ,RS,1
PASANTOS BONS,MA,1
PASSO DE TORRES,SC,1
PEDREIRAS,MA,1
PEIXOTO DE AZEVEDO,MT,1
PENEDO,AL,1
PENHA,SC,1
PERDÕES,MG,1
PICOS,PI,1
PILAR DO SUL,SP,1
PIMENTA BUENO,RO,1
PINDORAMA,SP,1
PINHEIRAL,RJ,1
PIQUET CARNEIRO,CE,1
PIRACANJUBA,GO,1
PIRANGA,MG,1
PIRAPORA,MG,1
PIRAÍ,RJ,1
PITANGUI,MG,1
PIUMHI,MG,1
PIÊN,PR,1
PLANALTINA,GO,1
POCONÉ,MT,1
POMPÉIA,SP,1
POMPÉU,MG,1
PONTE NOVA,MG,1
PONTES E LACERDA,MT,1
PORANGATU,GO,1
PORTO FELIZ,SP,1
PORTO FERREIRA,SP,1
PORTO FRANCO,MA,1
PORTO NACIONAL,TO,1
PORTÃO,RS,1
POTÉ,MG,1
POUSO REDONDO,SC,1
POXORÉO,MT,1
POÇO FUNDO,MG,1
PRESIDENTE EPITÁCIO,SP,1
PRIMAVERA DO LESTE,MT,1
PRINCESA ISABEL,PB,1
QUIXADÁ,CE,1
RAPOSOS,MG,1
REDENÇÃO,PA,1
RESERVA,PR,1
RESPLENDOR,MG,1
REVALDO,RS,1
RIACHÃO DO JACUÍPE,BA,1
RIALMA,GO,1
RIO GRANDE DA SERRA,SP,1
RIO POMBA,MG,1
ROCA SALES,RS,1
RODEIO BONITO,RS,1
ROLANTE,RS,1
ROSÁRIO OESTE,MT,1
RUBIATABA,GO,1
SABARÁ,MG,1
SALDANHA MARINHO,RS,1
SALESÓPOLIS,SP,1
SALGUEIRO,PE,1
SALTO DO JACUÍ,RS,1
SANANDUVA,RS,1
SANTA BARBARA DO SUL,RS,1
SANTA CECÍLIA,SC,1
SANTA CRUZ DAS PALMEIRAS,SP,1
SANTA CRUZ DO CAPIBARIBE,PE,1
SANTA FÉ DO SUL,SP,1
SANTA INÊS,MA,1
SANTA IZABEL DO OESTE,PR,1
SANTA MARIA DE JETIBÁ,ES,1
SANTA QUITÉRIA,CE,1
SANTA RITA DO PASSA QUATRO,SP,1
SANTA RITA DO SAPUCAÍ,MG,1
SANTO ANTONIO DA PATRULHA,RS,1
SANTO ANTONIO DAS MISSÕES,RS,1
SANTO ANTÔNIO DA PATRULHA,RS,1
SANTO ANTÔNIO DE JESUS,BA,1
SANTO ANTÔNIO DO MONTE,MG,1
SANTO AUGUSANTO,RS,1
SAPEZAL,MT,1
SAUDADES,SC,1
SCHROEDER,SC,1
SERAFINA CORREIA,RS,1
SERRA NEGRA,SP,1
SERRA TALHADA,PE,1
SERTANÓPOLIS,PR,1
SEVERÍNIA,SP,1
SIDROLÂNDIA,MS,1
SILVA JARDIM,RJ,1
SILVÂNIA,GO,1
SIMONÉSIA,MG,1
SINIMBU,RS,1
SIQUEIRA CAMPOS,PR,1
SOBRADINHO,RS,1
SOBRAL,CE,1
SOORETAMA,ES,1
SUMARÉ,SP,1
SÃO BENTO,PB,1
SÃO DESIDÉRIO,BA,1
SÃO DOMINGOS,SC,1
SÃO DOMINGOS DO PRATA,MG,1
SÃO FRANCISCO DE ASSIS,RS,1
SÃO GONÇALO DO SAPUCAÍ,MG,1
SÃO JERONIMO,RS,1
SÃO JOSÉ DE PIRANHAS,PB,1
SÃO JOSÉ DO NORTE,RS,1
SÃO JOSÉ DO RIO CLARO,MT,1
SÃO JOSÉ DOS QUATRO MARCOS,MT,1
SÃO JOÃO DO ITAPERIÚ,SC,1
SÃO JOÃO DO SUL,SC,1
SÃO LOURENÇO DO SUL,RS,1
SÃO LUÍS DE MONTES BELOS,GO,1
SÃO MARCOS,RS,1
SÃO SEBASTIÃO DO PARAÍSO,MG,1
TAILÂNDIA,PA,1
TAMBAÚ,SP,1
TANABI,SP,1
TAPERA,RS,1
TAPES,RS,1
TAPIRAMUTÁ,BA,1
TAQUARITINGA,SP,1
TEOTÔNIA,RS,1
TERRA BOA,PR,1
TERRA DE AREIA,RS,1
TRINDADE,GO,1
TRÊS COROAS,RS,1
TRÊS PONTAS,MG,1
TUPACIGUARA,MG,1
TURMALINA,MG,1
TURVO,SC,1
UBAITABA,BA,1
UBATUBA,SP,1
UBATÃ,BA,1
VALENÇA DO PIAUÍ,PI,1
VARGEM ALTA,ES,1
VASSOURAS,RJ,1
VAZANTE,MG,1
VENDA NOVA DO IMIGRANTE,ES,1
VIANA,ES,1
VILA VALÉRIO,ES,1
VIRADOURO,SP,1
VISCONDE DO RIO BRANCO,MG,1
VITÓRIA DE SANTO ANTÃO,PE,1
VOTORANTIM,SP,1
VÁRZEA DA PALMA,MG,1
ÁGUA BOA,MT,1
ÁGUA BRANCA,PI,1
ÁGUAS CLARAS,DF,1
ÁGUAS DE LINDÓIA,SP,1
