cidade_01,nome,id.x,meio,regiao_metropolitana.x,uf.x,estado01,regiao01,pais.x,fonte,name,about,category,description,general_info,likes,link,city,state,country,latitude,longitude,talking_about_count,username,website,,
GUARAPUAVA,CENTRAL CULTURA DE COMUNICAÇÃO,id1597,Online,n/d,PR,Paraná,S,Brasil,Secom/PR,Central Cultura de Comunicação,Quem tem cultura tem tudo!,News & Media Website,Site com notícias de Guarapuava (PR) e região integrado as Rádios Cultura e 93 FM.,NA,9191,https://www.facebook.com/radiocultura.guarapuava/,Guarapuava,NA,NA,NA,NA,118,radiocultura.guarapuava,http://centralcultura.com.br/ http://www.cultura93fm.com.br/,,
SÃO LUÍS,CENTRAL DE NOTICIAS,id696,Online,n/d,MA,Maranhão,NE,Brasil,Secom/PR,Central de Noticias,"Orientar, informar, entretener y culturizar es nuestro principal objetivo.  Publicidad y denuncias al WhatsApp 931997565",News & Media Website,NA,NA,67927,https://www.facebook.com/centralnoticias/,NA,NA,NA,NA,NA,15667,centralnoticias,http://centraldenoticiasperu.blogspot.pe/,,
ITAPIRA,CENTRAL DO TRANSPORTE,id3289,Online,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Central do Transporte Escolar,Central de captação de alunos para transporte e cooperação entre transportadores para a melhor prestação de serviços no ramos de transporte escolar privado,School Transportation Service,NA,NA,364,https://www.facebook.com/Central-do-Transporte-Escolar-688280231319679/,Santiago,RS,Brazil,-29.18573717,-54.87394094,32,NA,NA,,
SÃO PAULO,CENTRAL LESTE NOTICIAS,id4578,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Central Leste Notícias,"Bem vindo a sua central e agência de notícias. Aqui você fica informado sobre o que está acontecendo, já aconteceu e vai acontecer na ZL.",Media/News Company,NA,NA,2445,https://www.facebook.com/centralleste.noticias/,NA,NA,NA,NA,NA,5,centralleste.noticias,http://www.centrallestenoticias.com.br,,
MINEIROS,CENTRO OESTE NOTICIAS,id654,Jornal,n/d,GO,Goiás,CO,Brasil,Secom/PR,Centro Oeste Notícias,Notícias Cuiabá ,Media/News Company,NA,NA,1818,https://www.facebook.com/coestenoticias/,Cuiabazinho,MT,Brazil,NA,NA,6,coestenoticias,NA,,
BARRA DO PIRAÍ,CENTRO SUL,id2012,Jornal,n/d,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,Centro Sul Com.Generos Alimentícios,NA,Shopping & Retail,"Comercio de batatas, cebolas, alho e feijão
Whats (51) 99582-9048",NA,192,https://www.facebook.com/centrosulgenerosalimenticios/,Porto Alegre,RS,Brazil,-29.9745751,-51.1705306,5,centrosulgenerosalimenticios,NA,,
CARAGUATATUBA,CENTRO UNIVERSITÁRIO MÓDULO,id5776,Jornal,n/d,SP,São Paulo,SE,Brasil,GPI/PROJOR,Centro Universitário Módulo,"Originado no Colégio Módulo, o Centro Universitário Módulo tem suas origens em 1988, sempre com o compromisso de formar profissionais qualificados e competentes, capazes de contribuir para o desenvolvimento social e econômico da região.",Education,"Originado no Colégio Módulo, o Centro Universitário Módulo tem suas origens em 1988, sempre com o compromisso de formar profissionais qualificados e competentes, capazes de contribuir para o desenvolvimento social e econômico da região.",NA,11104,https://www.facebook.com/universitariomodulo/,Caraguatatuba,SP,Brazil,-23.61345123,-45.37963718,465,universitariomodulo,http://www.modulo.edu.br/,,
BRASÍLIA,CERRADO MIX,id335,Online,RIDE DF,DF,Distrito Federal,CO,Brasil,Secom/PR,Cerrado MIX Festival,"CERRADO MIX FESTIVAL - GOIANIA - 07, 08 e 09 de abril 

CERRADO MIX FESTIVAL - BRASILIA - 08 de Abril 

",Concert Tour,"O Cerrado Mix vai muito além de um simples festival. Ele busca reunir diversas culturas, colocando as pessoas em contato com a música, arte e esporte. 
Esse envolvimento do público com a cultura e suas diversas formas de expressão, demonstra que a sociedade tem voz ativa em meio aos conflitos dos dias de hoje.
O evento é uma válvula de escape, no qual buscamos trazer alegria, descontração e diversão para todos.Cada artista representa parte dessa energia que queremos transmitir, 
unindo estilos e pessoas. 

O Cerrado Mix Festival é cultura, esporte e lazer! Vamos juntos construir um ambiente livre, alegre e com muita diversão! 

Venha ser Cerrado! 
_____________________________________

Regras para um bom diálogo: 
A página do Cerrado Mix Festival é um espaço saudável, democrático e cheio de informações e conteúdo sobre o evento.
Temos o objetivo de ter um ambiente legal e alegre. 
O Festival se mantém no direito de excluir ou banir qualquer comentário com conteúdo ofensivo, preconceituoso, racista, xenófobos e chulos sem aviso prévio, juntamente com seu autor.

A moderação é realizada afim de mantermos um ambiente saudável, lembrando que não nos responsabilizamos por opiniões emitidas por terceiros.

Cerrado Mix Festival - 
Site: www.cerradomixfestival.com.br
instagram: @cerradomixfestival",NA,41384,https://www.facebook.com/cerradomixfestival/,NA,NA,NA,NA,NA,149,cerradomixfestival,http://www.cerradomixfestival.com.br,,
CASCAVEL,CGN - CENTRAL GAZETA DE NOTÍCIAS,id1530,Online,n/d,PR,Paraná,S,Brasil,Secom/PR,Gazeta de Notícias,Notícias de Arujá denúncias atualidades acontecimentos sociais,Newspaper,NA,NA,501,https://www.facebook.com/gazetadenoticiasaruja/,Arujá,SP,Brazil,-23.38727,-46.3259811,6,gazetadenoticiasaruja,NA,,
RIO DE JANEIRO,CHC - CIÊNCIA HOJE DAS CRIANÇAS,id1844,Online,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,Ciência Hoje das Crianças,Ciência Hoje das Crianças,Magazine,"Somos a Ciência Hoje das Crianças, uma revista feita pelo Instituto Ciência Hoje para despertar a curiosidade de meninos e meninas.",NA,25923,https://www.facebook.com/RevistaCHC/,NA,NA,NA,NA,NA,75,RevistaCHC,http://chc.cienciahoje.uol.com.br/,,
ITAPIRA,CHICO DA BOLÉIA,id3288,Online,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Chico da Boleia,"Portal de Conteúdos para Caminhoneiros.
www.chicodaboleia.com.br",News & Media Website,"O Portal Chico da Boleia é um canal online de comunicação voltado para os  caminhoneiros,  carreteiros  e  empresários  do  setor  de  transporte. 
Nele,  reunimos  notícias  sobre  transporte,  economia,  lançamentos,  saúde, entretenimento,  esporte  e  lazer ,  além  dos  diversos  blogs,  que  traduzem  a opinião de cada  um dos seus  produtores. Eles foram pensados para levar 
informações  e  dicas  sobre  o  setor  e  para  interagir  diretamente  com  os leitores. 

O  Portal  é  atualizado  diariamente  com  as  notícias  do  setor ,  como  releases, entrevistas,  vídeos  e  imagens  produzidos  pela  nossa  equipe.  Também buscamos  atualizar  um  calendário  sobre  os  principais  eventos  do segmento  que  fica  à  disposição  daqueles  que  desejarem  obter  ou 
conceder  informações,  buscando  ou  divulgando  eventos.    Através  do nosso  portal,  os  usuários  podem  conhecer  promoções,  visualizar  as galerias e participar de enquetes, deixando ainda comentários, críticas e sugestões em cada uma das publicações.    Além disso,  podem conhecer 
mais  sobre  os  produtos  e  serviços  disponibilizados  pelos  anunciantes. 

A  busca  por  informações  confiáveis  e  que  levem  conhecimento,  educação e promovam a segurança e a saúde são nossos principais objetivos, por 
isso, temos plena consciência do papel do setor na economia nacional e buscamos  valorizar  a  participação  dos  caminhoneiros. ",NA,6389,https://www.facebook.com/chicodaboleia/,NA,NA,NA,NA,NA,948,chicodaboleia,http://www.chicodaboleia.com.br/,,
CIANORTE,CIANORTE AGORA,id5517,Jornal,n/d,PR,Paraná,S,Brasil,Adjori-Pr,Jornal Cianorte Agora,Jornal Cianorte Agora é um impresso semanal e um portal de internet com notícias de Cianorte e Região!,Local Service,Notícias de Cianorte e região (Jornal e Portal na web),NA,36707,https://www.facebook.com/cianorteagora/,Cianorte,PR,Brazil,-23.6586153,-52.6066251,10622,cianorteagora,http://www.cianorteagora.com.br,,
SÃO PAULO,CICLO VIVO,id3882,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,CicloVivo,Bem vindos! Somos um site de notícias que aborda os mais diversos temas relacionados à sustentabilidade. Conheça nossa página!,Broadcasting & Media Production Company,"O CicloVivo é um site com o objetivo de informar as mudanças e novidades do mundo da sustentabilidade, além de fomentar atitudes mais positivas e conscientes. Com alicerce em três pilares (econômico, social e ambiental) as notícias envolvem: meio ambiente, tecnologia, arquitetura, mídia, negócios, design, arquitetura, desenvolvimento, bike e vida sustentável.",NA,403541,https://www.facebook.com/ciclovivo/,São Paulo,SP,Brazil,-23.63564,-46.70122,21453,ciclovivo,http://www.ciclovivo.com.br,,
CALDAS NOVAS,CIDADAO,id581,Jornal,n/d,GO,Goiás,CO,Brasil,Secom/PR,Jornal Cidadão,Junto com você também pelo Facebook.,Professional Service,NA,NA,3918,https://www.facebook.com/cidadaojornal/,São Pedro,RN,Brazil,-29.6245186,-54.1805844,321,cidadaojornal,NA,,
FERNANDÓPOLIS,CIDADÃO,id5569,Jornal,n/d,SP,São Paulo,SE,Brasil,Adjori-SP,Cão Cidadão,"Criada por Alexandre Rossi, a Cão Cidadão atua há mais de 15 anos com adestramento em domicílio e consulta de comportamento. ",Company,NA,NA,356275,https://www.facebook.com/caocidadaooficial/,NA,NA,NA,NA,NA,2967,caocidadaooficial,www.caocidadao.com.br,,
OSVALDO CRUZ,CIDADE ABERTA,id4359,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Jornal Cidade Aberta,"Página oficial do Jornal Cidade Aberta, que há 20 anos tem a missão de levar as principais notícias de Osvaldo Cruz e região.

Curta e compartilhe!",Advertising Agency,NA,NA,766,https://www.facebook.com/cidadeaberta/,Osvaldo Cruz,SP,Brazil,-23.48340065,-46.38427734,3,cidadeaberta,NA,,
CAIEIRAS,CIDADE AGORA,id4060,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Cidade Agora,"Conheça: 

Nosso Jornal  impresso Jornal Cidade Agora

Fan Page  - www.facebook.com/pg/jornalcidadeagora

Site - http://www.jornalcidadeagora.inf.br

Cobrimos toda região",Media/News Company,"Jornal Cidade Agora
Veículo de comunicação que trata sobre assuntos diversos, voltados às cidades da região de Caieiras, Franco da Rocha, Francisco Morato, Cajamar, Santana do Parnaíba, Mairiporã, Campo Limpo, Várzea Paulista, Jundiaí, etc.

site: http://www.jornalcidadeagora.inf.br",NA,29294,https://www.facebook.com/jornalcidadeagora/,Cajamar,SP,Brazil,-23.3563194,-46.8770294,1006,jornalcidadeagora,http://www.jornalcidadeagora.inf.br/,,
AGUDOS,CIDADE DE AGUDOS,id3957,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Jornal Cidade de Agudos,Anuncie no Jornal Cidade de Agudos entre em contato no numero (14) 9782-1381,Telecommunication Company,NA,NA,984,https://www.facebook.com/Jornal-Cidade-de-Agudos-404025722960938/,NA,NA,NA,NA,NA,2,NA,NA,,
BARUERI,CIDADE DE BARUERI,id5560,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Adjori-SP,Cidade de Barueri,NA,Region,"A fundação de Barueri remonta à época das missões jesuíticas, em meados do século XVI. 

Segundo os historiadores a origem da cidade foi o aldeamento de Barueri, fundado em 11 de novembro de 1560 pelo padre José de Anchieta, que ergueu na margem direita do rio Tietê, pouco acima da confluência com o Rio Barueri Mirim, a Capela de Nossa Senhora da Escada, hoje padroeira do município. 

O nome Barueri deriva da mistura da palavra francesa barriére (barreira, queda, obstáculo) com o vocábulo indígena mbaruery (rio encachoeirado), significando, portanto, barreira que encachoeira o rio, visto que a área ficava na bifurcação do Anhembi, como era chamado o Tietê

Flor vermelha que encanta

O vocábulo Barueri em tupi guarani não quer dizer flor vermelha que encanta, como muitos acreditam.
Talvez pelo fato de, às margens do rio Barueri Mirim existirem, muitos anos atrás, flores vermelhas (hibisco) deu-se esta associação.

“Flor vermelha que encanta” é, na verdade, uma espécie de slogam associado a Barueri, o nome da cidade.



A aldeia de Barueri cresceu rapidamente, tornando-se um dos mais importantes aldeamentos de índios do Brasil colônia. Resistindo bravamente, com a ajuda dos padres jesuítas, aos freqüentes ataques de bandeirantes que desciam o rio Tietê em direção ao interior, aprisionando índios para mão-de-obra escrava, a aldeia conseguiu sobreviver. Com o decorrer dos anos e o notório crescimento, a Aldeia chegou a povoado e, posteriormente, já em 1809, à categoria de freguesia. 

Em 1870 iniciou-se a construção da Estrada de Ferro Sorocabana, e em 1875, com a inauguração do primeiro trecho, Barueri ganhou sua estação ferroviária, tornando-se importante entreposto de cargas, rota obrigatória na ligação da Capital São Paulo com Santana de Parnaíba e Pirapora do Bom Jesus.Pertencente ao Município e Comarca de Santana de Parnaíba, Barueri crescia a olhos vistos, suplantando a pacata e bucólica Parnaíba. 

O espírito autonomista não tardou a surgir entre os cidadãos e o movimento emancipacionista ganhou vulto, culminando com a criação do Município de Barueri pela lei número 233, de 24 de dezembro de 1948, sancionada pelo então Governador do Estado Adhemar de Barros.

Em 26 de março de 1949 instala-se o Governo Municipal e a primeira Câmara de Vereadores. Em 08 de dezembro de 1964 é promulgada a lei que instalou a Comarca de Barueri. O desenvolvimento econômico de Barueri ganhou força a partir de 1973, quando a Câmara Municipal aprovou a Lei de Zoneamento Industrial que permitiu o surgimento de pólos empresariais como os de Alphaville, Tamboré e Jardim Califórnia e, mais recentemente o Distrito Industrial do Votupóca. Localizada na zona oeste da região metropolitana da Grande São Paulo, a uma distância de 26,5 quilômetros do marco zero de São Paulo, na Praça da Sé, Barueri tem uma área de 64 quilômetros quadrados e uma população fixa de aproximadamente 240 mil habitantes. 

Conduzida por sucessivas administrações arrojadas e progressistas a cidade atingiu lugar de destaque dentre os municípios da região metropolitana. 
 
",NA,1650,https://www.facebook.com/barueri.barueri/,Barueri,SP,Brazil,-23.51201556,-46.87476701,3,barueri.barueri,http://www.barueri.sp.gov.br/,,
BOITUVA,CIDADE DE BOITUVA,id4028,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Cidade de Boituva,NA,Tour Agency,NA,NA,2063,https://www.facebook.com/Cidade-de-Boituva-238716412859376/,Boituva,SP,Brazil,-23.29474,-47.72334,775,NA,http://www.boituva.sp.gov.br/,,
JACAREÍ,CIDADE DE JACAREI,id4253,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Cidade De Jacareí Sp,NA,Neighborhood,NA,NA,18,https://www.facebook.com/pages/Cidade-De-Jacare%C3%AD-Sp/1578844679071804,Jacareí,SP,Brazil,-23.2946661,-45.9883621,0,NA,NA,,
MAIRIPORÃ,CIDADE DE MAIRIPORA,id4296,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Jornal Cidade de Mairiporã,NA,Newspaper,NA,"Fundado em 23 de Dezembro de 1983 - (30 anos)
Circulação semanal: 3.000 exemplares

nas Bancas: R$ 1,00

Redação: Marcelo dos Santos
Fotos: Preto e Marcelo",2099,https://www.facebook.com/JornalCidadedeMairipora/,Mairiporã,SP,Brazil,-23.3220794,-46.5889199,22,JornalCidadedeMairipora,NA,,
MONGAGUÁ,CIDADE DE MONGAGUA,id4331,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Cidade de Mongaguá,Cidade Turística,Region,NA,NA,527,https://www.facebook.com/Cidade-de-Mongaguá-576002629117575/,São Paulo,SP,Brazil,-24.1560447,-46.76954983,5,NA,http://mongagua.sp.gov.br/,,
RIO CLARO,CIDADE DE RIO CLARO,id4446,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Cidade De Rio Claro / SP,NA,City,NA,NA,697,https://www.facebook.com/pages/Cidade-De-Rio-Claro-SP/548734288488354,Rio Claro,SP,Brazil,-22.4009936,-47.5728276,0,NA,NA,,
CARAPICUÍBA,CIDADE EM ALERTA,id4095,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Cidade em Alerta,Site de noticias voltado para o jornalismo diferente com o intuito de levar a informação e a noticia a todas as pessoas. ,Media/News Company,Site de noticias voltado para o jornalismo diferente com o intuito de levar a informação e a noticia a todas as pessoas. ,NA,16,https://www.facebook.com/Cidade-em-Alerta-365290380567363/,São Miguel do Guaporé,RO,Brazil,-11.69716382,-62.71685958,1,NA,www.cidadeemalerta.com.br,,
BRASÍLIA,CIDADE EM FOCO,id395,Jornal,RIDE DF,DF,Distrito Federal,CO,Brasil,Secom/PR,Cidade em Foco,NA,Community,NA,NA,370,https://www.facebook.com/Cidade-em-Foco-121865718477912/,NA,NA,NA,NA,NA,9,NA,NA,,
PORTO ALEGRE,CIDADE LESTE,id2625,Jornal,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,Secom/PR,Shopping Cidade Leste,O Shopping da zona leste de Manaus.,Shopping Mall,NA,NA,5451,https://www.facebook.com/CidadeLeste/,Manaus,AM,Brazil,-3.047950204,-59.94427906,327,CidadeLeste,http://www.shoppingcidadeleste.com.br,,
APARECIDA DE GOIÂNIA,CIDADE METROPOLITANA,id573,Jornal,n/d,GO,Goiás,CO,Brasil,Secom/PR,Cidade Metropolitana,NA,Community,NA,NA,1485,https://www.facebook.com/cidademetropolitana/,Maringá,PR,Brazil,NA,NA,2,cidademetropolitana,NA,,
GUARUJÁ,CIDADE NEWS,id4175,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Cidade News,"Notícias, Informações, Dicas, Eventos e tudo mais que está acontecendo ou irá acontecer na Cidade de Amparo-SP",Media/News Company,"Notícias, Informações, Dicas e tudo mais que está acontecendo ou irá acontecer na Cidade de Amparo-SP",NA,4216,https://www.facebook.com/ProgramaCidadeNews/,Amparo,SP,Brazil,NA,NA,111,ProgramaCidadeNews,NA,,
GUARULHOS,CIDADE NO FOCO,id4179,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Cidade no Foco Editoracao,NA,Local Business,NA,NA,0,https://www.facebook.com/pages/Cidade-no-Foco-Editoracao/170481576820064,Guarulhos,SP,Brazil,-23.45271,-46.55397,0,NA,NA,,
ALEXÂNIA,CIDADE NOTICIA,id556,Jornal,RIDE DF,GO,Goiás,CO,Brasil,Secom/PR,Cidade Notícia,"A Rádio Líder FM 97,1 da cidade de Sousa estreou em 29 de Novembro de 2004 o programa jornalístico ‘Cidade Notícia’. 

O noticiário veicula com seriedade e apuração dos fatos as primeiras informações do dia para todo Sertão paraibano.
",Radio Station,"A primeira informação do dia!
O programa é veiculado de segunda a sábado, das 6 as 8 horas pela Rádio Líder FM 97,1 de Sousa-PB (www.lider97.com.br).
Apresentadores: Levi Dantas e Leonardo Alves.",NA,4244,https://www.facebook.com/cidadenoticiasousa/,NA,NA,NA,NA,NA,579,cidadenoticiasousa,http://www.cidadenoticia.com.br,,
MONTE ALTO,CIDADE SONHO,id4334,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Jornal Cidade Sonho,"Um jornal apartidário, há 22 anos informando Monte Alto e região com seriedade.",Newspaper,"Um jornal apartidário, há 22 anos informando Monte Alto e região com seriedade.",NA,4449,https://www.facebook.com/JornalCidadeSonho/,Monte Alto,SP,Brazil,-21.2635727,-48.4984627,33,JornalCidadeSonho,NA,,
TERESINA,CIDADE VERDE,id1503,Online,n/d,PI,Piauí,NE,Brasil,Secom/PR,Cidade Verde,A boa imagem do Piauí. Acesse: www.cidadeverde.com  Curta a página e compartilhe a sua opinião.,TV Channel,A boa imagem do Piauí é transmitida pela TV Cidade Verde há mais de 30 anos. Inovação e credibilidade fazem parte dessa história. Acesse: www.cidadeverde.com  Curta a página e compartilhe conosco a melhor imagem do Piauí em alta definição.,NA,333913,https://www.facebook.com/cidadeverde/,Teresina,PI,Brazil,-5.111156529,-42.79462092,14062,cidadeverde,http://www.cidadeverde.com,,
CERQUILHO,CIDADES DAS ROSAS,id4102,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,"Cidade Das Rosas, SGA/RN",NA,Neighborhood,NA,NA,270,https://www.facebook.com/pages/Cidade-Das-Rosas-SGARN/439956549398649,NA,NA,NA,-5.752133725,-35.2996494,0,NA,NA,,
FAXINAL DO SOTURNO,CIDADES DO VALE,id5224,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,Cidades Do Vale,NA,Media/News Company,NA,NA,783,https://www.facebook.com/Cidades-Do-Vale-267076583399152/,NA,NA,NA,NA,NA,0,NA,NA,,
MAUÁ,CIDADES EM DEBATE,id4308,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Cidades em Debate,O Projeto CIDADES EM DEBATE propõe a realização de um ciclo de debates sobre a realidade urbana do Cariri cearense em suas articulações com outros temas.,Education,NA,NA,326,https://www.facebook.com/cidadesemdebate/,NA,NA,NA,NA,NA,3,cidadesemdebate,https://cidadesemdebateufc.wixsite.com/cidadesemdebate,,
BELO HORIZONTE,CIFRA CLUB,id752,Online,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,Secom/PR,Cifra Club,"Seu site de cifras, tablaturas, videoaulas e muito mais!",Education,NA,NA,1971140,https://www.facebook.com/cifraclub/,Belo Horizonte,MG,Brazil,-19.9393676,-43.9353054,73080,cifraclub,www.cifraclub.com.br,,
BELA VISTA DE GOIÁS,CINCO DE JUNHO,id577,Jornal,n/d,GO,Goiás,CO,Brasil,Secom/PR,Jornal Cinco de Junho,Um jornal a serviço da comunidade,Media/News Company,NA,NA,1802,https://www.facebook.com/JornalCincoDeJunho/,Bela Vista de Goiás,GO,Brazil,-16.97240551,-48.94909878,38,JornalCincoDeJunho,http://www.cincodejunho.com.br,,
SÃO PAULO,CINECLICK,id3820,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Cineclick - Tudo Sobre Cinema,Tudo sobre Cinema:                                                                 www.cineclick.com.br,Entertainment Website,"Notícias sobre tudo o que rola no mundo do cinema, fichas de filmes, trailers, críticas, programação das salas de cinema e muito mais!",NA,253486,https://www.facebook.com/cineclick/,NA,NA,NA,NA,NA,7620,cineclick,www.cineclick.com.br,,
RIO CLARO,CINEPOP,id3335,Online,n/d,SP,São Paulo,SE,Brasil,Secom/PR,CinePOP,"Filmes, séries de TV, notícias quentes, lançamentos nos cinemas, DVDs e Blu-rays...",Movie Theater,"Considerado um dos maiores e mais completos sites de cinema brasileiro, o CinePOP é um dos sites da área que mais cresce no país. Como diferencial, o site conta com notícias exclusivas, fichas de filmes dos futuros lançamentos nos cinemas nacionais e lista com DVDs que serão lançados nas locadoras, além de disponibilizar trailers, wallpapers, cartazes, fotos, sinopses e criticas.

Com um tráfego diário de 150 mil visitas e mais de 8 milhões de pageviews mensais, o CinePOP é um dos mais completos e acessados sites de cinema do Brasil, contando com mais de quatro mil fichas de filmes.

O público alvo do site abrange uma idade de 18 a 24 anos (43,5%), masculino (52,7%) e feminino (47,3%). A veiculação do site é sobre todo o território nacional, com público maior na região Sudeste (75%) e Sul (26%). O site figurou o TOP 10 do iBEST no ano de 2003, e TOP 3 em 2008.",NA,324385,https://www.facebook.com/sitecinepop/,Rio Claro,SP,Brazil,-22.42505761,-47.55027775,39004,sitecinepop,http://cinepop.com.br,,
ARACAJU,CINFORM,id3207,Online,n/d,SE,Sergipe,NE,Brasil,Secom/PR,Cinform,Jornal Cinform,Newspaper,NA,NA,14980,https://www.facebook.com/cinform/,Aracaju,SE,Brazil,-10.9179877,-37.06328834,239,cinform,www.cinform.com.br,,
CUIABÁ,CIRCUITO MATO GROSSO,id1347,Jornal,n/d,MT,Mato Grosso,CO,Brasil,Secom/PR,Circuito Mato Grosso,"Principal jornal semanal do estado de Mato Grosso, com 23.000 exemplares impressos por edição. Portal Online www.circutomt.com.br ",Newspaper,"Sou semanal, gratuito, bonito por fora, por dentro, na pegada manual e na net.
Bem humorado, sofisticado, tradicional, sei cozinhar com biquinho e conto piadas na hora certa.
Um bom livro? Pergunta que eu sugiro.
Musica? Vinho? Diversidade sexual? Saúde?
Falo de política com a mesma clareza que Edmilson comenta tópicos de Arquitetura. 
Questiono valores culturais equilibrando ângulos. 
De perto e de longe, eu sempre vejo melhorias, alerto positivamente como Pirajá numa piscada de página. 
So you want to improve your English? Outra vez no lugar certo com a companhia certa
Abrangente, contrastante e fértil: Papo de Homem.
Vamos nos conhecer mais, me apresente para os amigos. 
Vamos conferir as novidades da cidade com Kharina e botar o papo em dia com Carlinhos. 
Da Zona Livre ao Vintage mais distante, venha dialogar, refletir, fazer ver e ser ouvido. 
www.circuitomt.com.br",NA,32683,https://www.facebook.com/CircuitoMatoGrosso/,Cuiabá,MT,Brazil,-15.58083629,-56.08788328,1770,CircuitoMatoGrosso,http://www.circuitomt.com.br,,
BRUMADINHO,CIRCUITO NOTICIAS,id873,Jornal,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,Secom/PR,Circuito Notícias,Jornal Circuito Notícias de Brumadinho,Media/News Company,NA,NA,297,https://www.facebook.com/Circuito-Notícias-628302563998619/,NA,NA,NA,NA,NA,1,NA,NA,,
PEDRO LEOPOLDO,CLARIM,id1058,Jornal,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,Secom/PR,Clarim,"Clarim Cidade Jardim:
Av. Gustavo Guedes,1937,Cid. Jardim.
Fone:3343-3595
Clarim Salgado Filho:
Av. Sen. Salgado Filho,1653,Lagoa Nova.
Fone:3302-6024",Clothing (Brand),"Clarim Cidade Jardim:
  Av. Gustavo Guedes, 1937, Cid. Jardim.
    Fone:3343-3595
Clarim Salgado Filho:
 Av. Sen. Salgado Filho, 1653, Lagoa Nova.
   Fone:3302-6024",NA,10817,https://www.facebook.com/ClarimOficial/,Natal,RN,Brazil,-5.8478053,-35.2025445,228,ClarimOficial,http://www.clarimmodas.com.br/,,
BRASÍLIA,CLASSIFICADAO,id389,Jornal,RIDE DF,DF,Distrito Federal,CO,Brasil,Secom/PR,Meu Classificadão,Portal de Anúncios Classificados de Ribeirão Pires e Região,Website,NA,NA,1518,https://www.facebook.com/classificadao/,NA,NA,NA,NA,NA,1,classificadao,http://www.meuclassificadao.com.br,,
IJUÍ,CLASSIFICADÃO,id5248,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,Classificadão,"Classificadão do Vale tem circulação em Sapiranga, Canela e Gramado.
",Media/News Company,"Sapiranga, Gramado e Canela possuem agora a melhor ferramenta para anunciar.
Anúncios gratuitos para pessoa física e ótimos preços para pessoa Jurídica. No Classificadão  com certeza o seu negócio acontece.",NA,182,https://www.facebook.com/oclassificadao/,Canela,RS,Brazil,-29.355144,-50.8146991,0,oclassificadao,http://www.jornaltj.com.br/classificados,,
RIO DE JANEIRO,CLASSIFICADOS DO RIO,id1879,Online,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,Classificados do Rio,"A tradição dos classificados dos jornais O Globo e Extra num portal seguro, atualizado e simples de usar.",Company,NA,NA,132302,https://www.facebook.com/classificadosInfoglobo/,Rio de Janeiro,RJ,Brazil,-22.9096,-43.19408,1567,classificadosInfoglobo,http://classificados.globo.com/,,
FLORIANÓPOLIS,CLASSIMOVEIS,id2979,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,Classimóveis,Classimóveis é um site de classificados online específico para as atividades relacionadas ao mercado imobiliário.,Business & Economy Website,"Classimóveis é um site de classificados online específico para as atividades relacionadas ao mercado imobiliário.
O objetivo do site de classificados é estabelecer uma ponte de contato entre o anunciante e o interessado no imóvel, bem como oferecer serviços e informações sobre o setor imobiliário. Encontre aqui imóveis em todo o Brasil. Casas, apartamentos, terrenos e imóveis comerciais e industriais.
Imobiliárias e corretores que possuem um site podem cadastrá-lo gratuitamente",NA,982,https://www.facebook.com/Classimoveis/,NA,NA,NA,NA,NA,2,Classimoveis,http://classimoveisbrasil.com,,
