cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
PINHEIROS,320410.0,3204104.0,3,n/d,ES,Espírito Santo,Sudeste,Brasil,23809.0,509.45,0.377,0.673,0.558,0.816,0.668
SÃO GABRIEL DA PALHA,320470.0,3204708.0,3,n/d,ES,Espírito Santo,Sudeste,Brasil,31623.0,792.54,0.445,0.709,0.578,0.835,0.739
SÃO MATEUS,320490.0,3204906.0,3,n/d,ES,Espírito Santo,Sudeste,Brasil,108223.0,699.99,0.557,0.735,0.655,0.843,0.719
SERRA,320500.0,3205002.0,3,n/d,ES,Espírito Santo,Sudeste,Brasil,407614.0,705.89,0.614,0.739,0.664,0.844,0.72
ARMAÇÃO DOS BÚZIOS,330023.0,3300233.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,27276.0,851.39,0.58,0.728,0.624,0.824,0.75
ARRAIAL DO CABO,330025.0,3300258.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,27627.0,714.47,0.627,0.733,0.677,0.805,0.722
CORDEIRO,330150.0,3301504.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,20407.0,724.29,0.581,0.729,0.649,0.826,0.724
MANGARATIBA,330260.0,3302601.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,36300.0,832.15,0.63,0.753,0.676,0.845,0.746
MESQUITA,330285.0,3302858.0,3,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,168234.0,640.37,0.662,0.737,0.678,0.839,0.704
PORCIÚNCULA,330410.0,3304102.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,17686.0,615.63,0.472,0.697,0.606,0.802,0.698
RIO BONITO,330430.0,3304300.0,3,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,54869.0,643.54,0.525,0.71,0.62,0.819,0.705
SÃO JOÃO DA BARRA,330500.0,3305000.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,32518.0,570.38,0.426,0.671,0.551,0.8,0.686
TRÊS RIOS,330600.0,3306008.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,77133.0,726.83,0.597,0.725,0.656,0.801,0.725
VALENÇA,330610.0,3306107.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,71332.0,675.62,0.581,0.738,0.666,0.848,0.713
ARARAS,350330.0,3503307.0,3,n/d,SP,São Paulo,Sudeste,Brasil,117824.0,921.76,0.617,0.781,0.728,0.859,0.763
BERTIOGA,350635.0,3506359.0,3,n/d,SP,São Paulo,Sudeste,Brasil,47239.0,736.03,0.542,0.73,0.654,0.817,0.727
CAIEIRAS,350900.0,3509007.0,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,86294.0,800.15,0.644,0.781,0.749,0.861,0.74
CAMPO LIMPO PAULISTA,350960.0,3509601.0,3,n/d,SP,São Paulo,Sudeste,Brasil,73614.0,767.85,0.637,0.769,0.739,0.84,0.733
CERQUILHO,351150.0,3511508.0,3,n/d,SP,São Paulo,Sudeste,Brasil,39409.0,894.52,0.606,0.782,0.739,0.854,0.758
CONCHAS,351230.0,3512308.0,3,n/d,SP,São Paulo,Sudeste,Brasil,16191.0,730.42,0.491,0.736,0.658,0.837,0.725
ESPÍRITO SANTO DO PINHAL,351518.0,3515186.0,3,n/d,SP,São Paulo,Sudeste,Brasil,41568.0,1048.6,0.575,0.787,0.712,0.872,0.784
GUARAREMA,351830.0,3518305.0,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,25691.0,748.79,0.551,0.731,0.656,0.817,0.729
IBIÚNA,351970.0,3519709.0,3,n/d,SP,São Paulo,Sudeste,Brasil,70850.0,624.55,0.433,0.71,0.614,0.832,0.7
ITAPEVA,352240.0,3522406.0,3,n/d,SP,São Paulo,Sudeste,Brasil,87462.0,630.48,0.546,0.732,0.697,0.803,0.702
ITAPEVI,352250.0,3522505.0,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,200590.0,575.72,0.554,0.735,0.677,0.855,0.687
ITAQUAQUECETUBA,352310.0,3523107.0,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,321198.0,502.85,0.542,0.714,0.648,0.844,0.665
ITATIBA,352340.0,3523404.0,3,n/d,SP,São Paulo,Sudeste,Brasil,101022.0,1080.74,0.599,0.778,0.708,0.844,0.788
JALES,352480.0,3524808.0,3,n/d,SP,São Paulo,Sudeste,Brasil,46877.0,850.11,0.567,0.776,0.73,0.855,0.75
JANDIRA,352500.0,3525003.0,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108193.0,792.33,0.609,0.76,0.706,0.841,0.738
JARDINÓPOLIS,352510.0,3525102.0,3,n/d,SP,São Paulo,Sudeste,Brasil,37596.0,742.74,0.537,0.735,0.64,0.853,0.728
JARINU,352520.0,3525201.0,3,n/d,SP,São Paulo,Sudeste,Brasil,23797.0,718.61,0.508,0.733,0.659,0.826,0.723
JOSÉ BONIFÁCIO,352570.0,3525706.0,3,n/d,SP,São Paulo,Sudeste,Brasil,32661.0,863.34,0.542,0.777,0.717,0.869,0.752
LEME,352670.0,3526704.0,3,n/d,SP,São Paulo,Sudeste,Brasil,91255.0,746.15,0.511,0.744,0.665,0.851,0.729
MIRASSOL,353030.0,3530300.0,3,n/d,SP,São Paulo,Sudeste,Brasil,53576.0,841.27,0.577,0.762,0.698,0.846,0.748
MONTE ALTO,353130.0,3531308.0,3,n/d,SP,São Paulo,Sudeste,Brasil,46499.0,832.6,0.546,0.768,0.707,0.859,0.746
PEDREIRA,353710.0,3537107.0,3,n/d,SP,São Paulo,Sudeste,Brasil,41401.0,853.76,0.574,0.769,0.701,0.864,0.75
PRAIA GRANDE,354100.0,3541000.0,3,n/d,SP,São Paulo,Sudeste,Brasil,261424.0,820.97,0.633,0.754,0.692,0.834,0.744
RIO DAS PEDRAS,354400.0,3544004.0,3,n/d,SP,São Paulo,Sudeste,Brasil,29409.0,804.0,0.602,0.759,0.7,0.842,0.741
SANTA CRUZ DO RIO PARDO,354640.0,3546405.0,3,n/d,SP,São Paulo,Sudeste,Brasil,43593.0,818.3,0.544,0.762,0.686,0.867,0.744
SANTO ANTÔNIO DE POSSE,354800.0,3548005.0,3,n/d,SP,São Paulo,Sudeste,Brasil,20591.0,695.67,0.426,0.702,0.576,0.838,0.718
SÃO JOSÉ DO RIO PARDO,354970.0,3549706.0,3,n/d,SP,São Paulo,Sudeste,Brasil,51528.0,818.61,0.563,0.774,0.717,0.868,0.744
SÃO PEDRO,355040.0,3550407.0,3,n/d,SP,São Paulo,Sudeste,Brasil,31561.0,803.02,0.539,0.755,0.674,0.863,0.741
SÃO VICENTE,355100.0,3551009.0,3,n/d,SP,São Paulo,Sudeste,Brasil,330341.0,789.32,0.65,0.768,0.716,0.857,0.738
TREMEMBÉ,355480.0,3554805.0,3,n/d,SP,São Paulo,Sudeste,Brasil,37302.0,959.88,0.637,0.785,0.72,0.873,0.769
VARGEM GRANDE DO SUL,355640.0,3556404.0,3,n/d,SP,São Paulo,Sudeste,Brasil,39159.0,711.6,0.469,0.737,0.643,0.863,0.721
VINHEDO,355670.0,3556701.0,3,n/d,SP,São Paulo,Sudeste,Brasil,63120.0,1493.32,0.666,0.817,0.739,0.878,0.84
ALMIRANTE TAMANDARÉ,410040.0,4100400.0,3,RM Curitiba,PR,Paraná,Sul,Brasil,103008.0,646.02,0.496,0.699,0.575,0.84,0.706
ASSIS CHATEAUBRIAND,410200.0,4102000.0,3,n/d,PR,Paraná,Sul,Brasil,32901.0,676.1,0.467,0.729,0.633,0.857,0.713
JACAREZINHO,411180.0,4111803.0,3,n/d,PR,Paraná,Sul,Brasil,38787.0,770.55,0.576,0.743,0.663,0.844,0.734
MARECHAL CÂNDIDO RONDON,411460.0,4114609.0,3,n/d,PR,Paraná,Sul,Brasil,46592.0,1036.38,0.563,0.774,0.704,0.842,0.782
PARANAGUÁ,411820.0,4118204.0,3,n/d,PR,Paraná,Sul,Brasil,139894.0,765.85,0.592,0.75,0.676,0.852,0.733
SÃO MIGUEL DO IGUAÇU,412570.0,4125704.0,3,n/d,PR,Paraná,Sul,Brasil,25649.0,734.88,0.414,0.704,0.588,0.818,0.726
TELÊMACO BORBA,412710.0,4127106.0,3,n/d,PR,Paraná,Sul,Brasil,69602.0,732.78,0.54,0.734,0.657,0.828,0.726
WENCESLAU BRAZ,412850.0,4128500.0,3,n/d,PR,Paraná,Sul,Brasil,19117.0,594.42,0.436,0.687,0.594,0.79,0.692
CAMPOS NOVOS,420360.0,4203600.0,3,n/d,SC,Santa Catarina,Sul,Brasil,32596.0,708.77,0.522,0.742,0.658,0.861,0.721
DIONÍSIO CERQUEIRA,420500.0,4205001.0,3,n/d,SC,Santa Catarina,Sul,Brasil,14753.0,636.41,0.41,0.706,0.61,0.82,0.703
GASPAR,420590.0,4205902.0,3,n/d,SC,Santa Catarina,Sul,Brasil,57615.0,964.36,0.558,0.765,0.655,0.889,0.77
MARAVILHA,421050.0,4210506.0,3,n/d,SC,Santa Catarina,Sul,Brasil,21897.0,896.02,0.562,0.781,0.708,0.886,0.758
PIRATUBA,421310.0,4213104.0,3,n/d,SC,Santa Catarina,Sul,Brasil,4773.0,779.57,0.485,0.758,0.714,0.829,0.736
RIO DO CAMPO,421450.0,4214508.0,3,n/d,SC,Santa Catarina,Sul,Brasil,6186.0,803.46,0.441,0.729,0.65,0.803,0.741
RIO NEGRINHO,421500.0,4215000.0,3,n/d,SC,Santa Catarina,Sul,Brasil,39723.0,664.58,0.537,0.738,0.668,0.848,0.71
RODEIO,421510.0,4215109.0,3,n/d,SC,Santa Catarina,Sul,Brasil,10871.0,958.15,0.447,0.754,0.626,0.889,0.769
TRÊS BARRAS,421830.0,4218301.0,3,n/d,SC,Santa Catarina,Sul,Brasil,18091.0,539.69,0.514,0.706,0.639,0.814,0.677
XAXIM,421970.0,4219705.0,3,n/d,SC,Santa Catarina,Sul,Brasil,25674.0,783.29,0.494,0.752,0.662,0.871,0.737
CAMPO BOM,430390.0,4303905.0,3,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,59572.0,879.65,0.52,0.745,0.643,0.852,0.755
CANDELÁRIA,430420.0,4304200.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,29867.0,620.92,0.377,0.674,0.521,0.842,0.699
ESTRELA,430780.0,4307807.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,30512.0,1002.78,0.578,0.767,0.684,0.85,0.776
GARIBALDI,430860.0,4308607.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,30501.0,1355.37,0.58,0.786,0.688,0.856,0.825
GRAMADO,430910.0,4309100.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,31974.0,1045.52,0.575,0.764,0.662,0.861,0.783
IGREJINHA,431010.0,4310108.0,3,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,31455.0,848.23,0.444,0.721,0.571,0.876,0.749
MARAU,431180.0,4311809.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,36196.0,980.92,0.61,0.774,0.699,0.857,0.773
PALMEIRA DAS MISSÕES,431370.0,4313706.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,33927.0,715.29,0.526,0.737,0.667,0.831,0.722
QUARAÍ,431530.0,4315305.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,22926.0,528.64,0.505,0.704,0.609,0.852,0.673
SANTA ROSA,431720.0,4317202.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,68021.0,863.61,0.597,0.769,0.693,0.871,0.752
SANTIAGO,431740.0,4317400.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,48579.0,828.78,0.578,0.766,0.682,0.882,0.746
SÃO BORJA,431800.0,4318002.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,61136.0,705.72,0.527,0.736,0.643,0.86,0.72
SÃO JERÔNIMO,431840.0,4318408.0,3,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,21841.0,768.93,0.465,0.696,0.56,0.822,0.734
SÃO LUIZ GONZAGA,431890.0,4318903.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,34268.0,698.77,0.528,0.741,0.664,0.855,0.718
SAPUCAIA DO SUL,432000.0,4320008.0,3,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,130595.0,733.28,0.589,0.726,0.624,0.844,0.726
SOLEDADE,432080.0,4320800.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,29754.0,737.92,0.509,0.731,0.625,0.861,0.727
TAPEJARA,432090.0,4320909.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,19141.0,922.28,0.527,0.76,0.688,0.837,0.763
TAQUARI,432130.0,4321303.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,25869.0,786.91,0.533,0.733,0.629,0.849,0.737
TEUTÔNIA,432145.0,4321451.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,27165.0,854.63,0.527,0.747,0.65,0.855,0.751
TUPANCIRETÃ,432220.0,4322202.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,22161.0,708.79,0.468,0.709,0.596,0.828,0.721
VACARIA,432250.0,4322509.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,60849.0,797.86,0.527,0.721,0.605,0.838,0.74
VERANÓPOLIS,432280.0,4322806.0,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,22683.0,1141.67,0.556,0.773,0.692,0.838,0.797
AQUIDAUANA,500110.0,5001102.0,3,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,45168.0,585.62,0.469,0.688,0.562,0.84,0.69
BATAGUASSU,500190.0,5001904.0,3,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,19684.0,614.34,0.467,0.71,0.606,0.847,0.698
RIBAS DO RIO PARDO,500710.0,5007109.0,3,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,20451.0,552.58,0.39,0.664,0.519,0.83,0.681
RIO VERDE DE MATO GROSSO,500740.0,5007406.0,3,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,18706.0,570.74,0.373,0.673,0.521,0.852,0.686
COLÍDER,510320.0,5103205.0,3,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,30525.0,758.67,0.423,0.713,0.604,0.819,0.732
JACIARA,510480.0,5104807.0,3,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,25453.0,742.81,0.511,0.735,0.655,0.833,0.728
SORRISO,510792.0,5107925.0,3,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,66131.0,988.74,0.516,0.744,0.635,0.839,0.774
CERES,520540.0,5205406.0,3,n/d,GO,Goiás,Centro-Oeste,Brasil,20620.0,865.23,0.585,0.775,0.733,0.842,0.753
LUZIÂNIA,521250.0,5212501.0,3,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,173474.0,580.88,0.51,0.701,0.602,0.831,0.689
PIRES DO RIO,521740.0,5217401.0,3,n/d,GO,Goiás,Centro-Oeste,Brasil,28628.0,702.46,0.515,0.744,0.65,0.88,0.719
VALPARAÍSO DE GOIÁS,522185.0,5221858.0,3,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,132705.0,764.73,0.663,0.746,0.695,0.815,0.733
COLORADO DO OESTE,110006.0,1100064.0,2,n/d,RO,Rondônia,Norte,Brasil,18540.0,535.41,0.426,0.685,0.584,0.814,0.676
JARU,110011.0,1100114.0,2,n/d,RO,Rondônia,Norte,Brasil,51715.0,575.14,0.43,0.689,0.577,0.825,0.687
PRESIDENTE MÉDICI,110025.0,1100254.0,2,n/d,RO,Rondônia,Norte,Brasil,22262.0,520.2,0.38,0.664,0.55,0.792,0.671
SÃO MIGUEL DO GUAPORÉ,110032.0,1100320.0,2,n/d,RO,Rondônia,Norte,Brasil,21700.0,440.6,0.346,0.646,0.537,0.781,0.644
CANDEIAS DO JAMARI,110080.0,1100809.0,2,n/d,RO,Rondônia,Norte,Brasil,19681.0,463.63,0.433,0.649,0.512,0.819,0.652
CASTANHAL,150240.0,1502400.0,2,RM Belém,PA,Pará,Norte,Brasil,172265.0,467.32,0.536,0.673,0.582,0.8,0.654
MONTE ALEGRE,150480.0,1504802.0,2,n/d,PA,Pará,Norte,Brasil,55260.0,231.65,0.364,0.589,0.495,0.764,0.541
IMPERATRIZ,210530.0,2105302.0,2,n/d,MA,Maranhão,Nordeste,Brasil,246317.0,613.87,0.617,0.731,0.698,0.803,0.697
RAPOSA,210945.0,2109452.0,2,n/d,MA,Maranhão,Nordeste,Brasil,26308.0,274.0,0.457,0.626,0.587,0.735,0.568
EUSÉBIO,230428.0,2304285.0,2,RM Fortaleza,CE,Ceará,Nordeste,Brasil,45707.0,623.01,0.525,0.701,0.621,0.794,0.7
NOVA RUSSAS,230930.0,2309300.0,2,n/d,CE,Ceará,Nordeste,Brasil,30864.0,304.52,0.353,0.614,0.524,0.754,0.585
CURRAIS NOVOS,240310.0,2403103.0,2,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,42240.0,526.96,0.493,0.691,0.617,0.794,0.673
PARNAMIRIM,240325.0,2403251.0,2,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,200906.0,850.44,0.682,0.766,0.726,0.825,0.75
CAJAZEIRAS,250370.0,2503704.0,2,n/d,PB,Paraíba,Nordeste,Brasil,58122.0,511.56,0.442,0.679,0.574,0.815,0.668
ARARIPINA,260110.0,2601102.0,2,n/d,PE,Pernambuco,Nordeste,Brasil,77085.0,324.01,0.321,0.602,0.467,0.785,0.595
CARUARU,260410.0,2604106.0,2,n/d,PE,Pernambuco,Nordeste,Brasil,313111.0,553.99,0.468,0.677,0.569,0.799,0.681
PETROLINA,261110.0,2611101.0,2,n/d,PE,Pernambuco,Nordeste,Brasil,291908.0,605.06,0.536,0.697,0.611,0.799,0.695
BAIXA GRANDE,290260.0,2902609.0,2,n/d,BA,Bahia,Nordeste,Brasil,19995.0,243.98,0.28,0.585,0.471,0.775,0.549
EUNÁPOLIS,291072.0,2910727.0,2,n/d,BA,Bahia,Nordeste,Brasil,99686.0,575.44,0.499,0.677,0.572,0.791,0.687
ILHÉUS,291360.0,2913606.0,2,n/d,BA,Bahia,Nordeste,Brasil,183184.0,579.46,0.528,0.69,0.59,0.808,0.688
PAULO AFONSO,292400.0,2924009.0,2,n/d,BA,Bahia,Nordeste,Brasil,107558.0,544.73,0.486,0.674,0.572,0.789,0.678
SÃO GONÇALO DOS CAMPOS,292930.0,2929305.0,2,n/d,BA,Bahia,Nordeste,Brasil,33208.0,419.27,0.419,0.627,0.516,0.752,0.636
ANDRADAS,310260.0,3102605.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,37150.0,754.39,0.425,0.734,0.617,0.878,0.731
BAEPENDI,310490.0,3104908.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,18097.0,497.21,0.408,0.681,0.57,0.833,0.664
BARBACENA,310560.0,3105608.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,124847.0,854.27,0.569,0.769,0.687,0.881,0.751
BOM DESPACHO,310740.0,3107406.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,45489.0,809.9,0.522,0.75,0.661,0.861,0.742
BORDA DA MATA,310830.0,3108305.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,17033.0,635.37,0.448,0.73,0.64,0.865,0.703
BRUMADINHO,310900.0,3109006.0,2,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,33754.0,910.31,0.503,0.747,0.639,0.857,0.761
CAMPO BELO,311120.0,3111200.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,51235.0,646.71,0.44,0.711,0.586,0.868,0.706
CAPELINHA,311230.0,3112307.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,34552.0,432.55,0.364,0.653,0.527,0.824,0.641
CARMO DO PARANAÍBA,311430.0,3114303.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,29357.0,678.13,0.383,0.705,0.571,0.861,0.713
CARMO DO RIO CLARO,311440.0,3114402.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,20308.0,685.17,0.469,0.733,0.649,0.85,0.715
CAXAMBU,311550.0,3115508.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,21489.0,963.25,0.535,0.743,0.629,0.848,0.77
DIAMANTINA,312160.0,3121605.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,45453.0,597.41,0.513,0.716,0.632,0.839,0.693
DIVINO,312200.0,3122009.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,18917.0,426.94,0.278,0.605,0.421,0.823,0.639
EXTREMA,312510.0,3125101.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,28466.0,745.21,0.508,0.732,0.633,0.849,0.729
GUANHÃES,312800.0,3128006.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,31146.0,560.99,0.404,0.686,0.576,0.82,0.683
ITABIRITO,313190.0,3131901.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,45260.0,784.55,0.561,0.73,0.638,0.828,0.737
ITURAMA,313440.0,3134400.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,34074.0,753.23,0.521,0.747,0.674,0.848,0.73
JANUÁRIA,313520.0,3135209.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,65174.0,359.19,0.445,0.658,0.568,0.82,0.611
LEOPOLDINA,313840.0,3138401.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,50929.0,609.5,0.506,0.726,0.635,0.867,0.696
MUZAMBINHO,314410.0,3144102.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,20324.0,719.94,0.51,0.74,0.652,0.859,0.723
NOVA SERRANA,314520.0,3145208.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,73372.0,659.74,0.475,0.715,0.597,0.864,0.709
OURO BRANCO,314590.0,3145901.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,35143.0,866.02,0.622,0.764,0.68,0.872,0.753
OURO FINO,314600.0,3146008.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,31352.0,635.38,0.455,0.722,0.622,0.861,0.703
PATROCÍNIO,314810.0,3148103.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,81685.0,720.59,0.485,0.729,0.628,0.852,0.723
RIBEIRÃO DAS NEVES,315460.0,3154606.0,2,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,291880.0,479.77,0.462,0.684,0.591,0.822,0.658
SACRAMENTO,315690.0,3156908.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,23718.0,732.35,0.465,0.732,0.619,0.871,0.726
SANTA LUZIA,315780.0,3157807.0,2,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,202170.0,557.62,0.53,0.715,0.625,0.859,0.682
SÃO JOÃO NEPOMUCENO,316290.0,3162906.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,24912.0,608.32,0.459,0.708,0.6,0.85,0.696
TAIOBEIRAS,316800.0,3168002.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,30730.0,426.91,0.391,0.67,0.578,0.815,0.639
TRÊS MARIAS,316935.0,3169356.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,28231.0,645.33,0.568,0.752,0.695,0.866,0.706
VESPASIANO,317120.0,3171204.0,2,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,104081.0,539.05,0.477,0.688,0.592,0.811,0.677
BARRA DE SÃO FRANCISCO,320090.0,3200904.0,2,n/d,ES,Espírito Santo,Sudeste,Brasil,40014.0,527.84,0.43,0.683,0.58,0.815,0.673
DOMINGOS MARTINS,320190.0,3201902.0,2,n/d,ES,Espírito Santo,Sudeste,Brasil,31784.0,551.74,0.327,0.669,0.528,0.833,0.68
MONTANHA,320350.0,3203502.0,2,n/d,ES,Espírito Santo,Sudeste,Brasil,17637.0,547.46,0.376,0.667,0.535,0.816,0.679
PIÚMA,320420.0,3204203.0,2,n/d,ES,Espírito Santo,Sudeste,Brasil,18011.0,629.9,0.541,0.727,0.643,0.852,0.702
BARRA DO PIRAÍ,330030.0,3300308.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,94474.0,719.16,0.606,0.733,0.665,0.819,0.723
CACHOEIRAS DE MACACU,330080.0,3300803.0,2,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,54233.0,604.45,0.515,0.7,0.603,0.817,0.695
CARMO,330120.0,3301207.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,17172.0,559.66,0.5,0.696,0.608,0.813,0.683
IGUABA GRANDE,330187.0,3301876.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,22831.0,818.01,0.66,0.761,0.704,0.841,0.744
ITABORAÍ,330190.0,3301900.0,2,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,217364.0,584.35,0.528,0.693,0.593,0.813,0.69
MIRACEMA,330300.0,3303005.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,26684.0,608.62,0.569,0.713,0.646,0.805,0.696
PATY DO ALFERES,330385.0,3303856.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,26248.0,562.52,0.389,0.671,0.549,0.806,0.683
PORTO REAL,330411.0,3304110.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,16563.0,577.07,0.53,0.713,0.645,0.817,0.688
QUEIMADOS,330414.0,3304144.0,2,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,137712.0,484.4,0.536,0.68,0.589,0.81,0.659
SÃO FIDÉLIS,330480.0,3304805.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,37429.0,567.23,0.488,0.691,0.611,0.787,0.685
SÃO PEDRO DA ALDEIA,330520.0,3305208.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,87646.0,710.04,0.578,0.712,0.626,0.801,0.721
SAPUCAIA,330540.0,3305406.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,17497.0,558.94,0.432,0.675,0.561,0.804,0.682
SEROPÉDICA,330555.0,3305554.0,2,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,77485.0,604.82,0.572,0.713,0.648,0.805,0.695
ALUMÍNIO,350115.0,3501152.0,2,n/d,SP,São Paulo,Sudeste,Brasil,16753.0,747.27,0.639,0.766,0.732,0.841,0.729
AMPARO,350190.0,3501905.0,2,n/d,SP,São Paulo,Sudeste,Brasil,65521.0,1027.6,0.592,0.785,0.711,0.871,0.78
ARTUR NOGUEIRA,350380.0,3503802.0,2,n/d,SP,São Paulo,Sudeste,Brasil,44074.0,823.24,0.554,0.749,0.681,0.827,0.745
ARUJÁ,350390.0,3503901.0,2,RM São Paulo,SP,São Paulo,Sudeste,Brasil,74649.0,910.67,0.624,0.784,0.73,0.866,0.761
BOITUVA,350700.0,3507001.0,2,n/d,SP,São Paulo,Sudeste,Brasil,48145.0,889.51,0.587,0.78,0.728,0.861,0.757
BRODOWSKI,350780.0,3507803.0,2,n/d,SP,São Paulo,Sudeste,Brasil,21023.0,787.91,0.529,0.755,0.675,0.864,0.738
BROTAS,350790.0,3507902.0,2,n/d,SP,São Paulo,Sudeste,Brasil,21515.0,722.76,0.509,0.74,0.688,0.815,0.724
BURITAMA,350810.0,3508108.0,2,n/d,SP,São Paulo,Sudeste,Brasil,15350.0,779.78,0.537,0.763,0.72,0.839,0.736
CABREÚVA,350840.0,3508405.0,2,n/d,SP,São Paulo,Sudeste,Brasil,41489.0,694.03,0.535,0.738,0.678,0.828,0.717
